Date,Date_ISO,Weekday,Year,Month,Month_Name,Day,URL,Notes,Display
03/01/2021,2021-01-03,יום ראשון,2021,1,ינואר,3,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_030121.mp3,,יום ראשון | 03/01/2021
04/01/2021,2021-01-04,יום שני,2021,1,ינואר,4,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_040121.mp3,,יום שני | 04/01/2021
05/01/2021,2021-01-05,יום שלישי,2021,1,ינואר,5,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_050121.mp3,,יום שלישי | 05/01/2021
06/01/2021,2021-01-06,יום רביעי,2021,1,ינואר,6,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_060121.mp3,,יום רביעי | 06/01/2021
07/01/2021,2021-01-07,יום חמישי,2021,1,ינואר,7,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_070121.mp3,,יום חמישי | 07/01/2021
10/01/2021,2021-01-10,יום ראשון,2021,1,ינואר,10,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_100121.mp3,,יום ראשון | 10/01/2021
11/01/2021,2021-01-11,יום שני,2021,1,ינואר,11,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_110121.mp3,,יום שני | 11/01/2021
12/01/2021,2021-01-12,יום שלישי,2021,1,ינואר,12,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_120121.mp3,,יום שלישי | 12/01/2021
13/01/2021,2021-01-13,יום רביעי,2021,1,ינואר,13,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_130121.mp3,,יום רביעי | 13/01/2021
14/01/2021,2021-01-14,יום חמישי,2021,1,ינואר,14,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_140121.mp3,,יום חמישי | 14/01/2021
17/01/2021,2021-01-17,יום ראשון,2021,1,ינואר,17,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_170121b.mp3,,יום ראשון | 17/01/2021
18/01/2021,2021-01-18,יום שני,2021,1,ינואר,18,https://a99.mediacast.co.il/99fm/mediafiles/hboker_full_180121.mp3,,יום שני | 18/01/2021
19/01/2021,2021-01-19,יום שלישי,2021,1,ינואר,19,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_190121.mp3,,יום שלישי | 19/01/2021
20/01/2021,2021-01-20,יום רביעי,2021,1,ינואר,20,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_200121.mp3,,יום רביעי | 20/01/2021
21/01/2021,2021-01-21,יום חמישי,2021,1,ינואר,21,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_210121.mp3,,יום חמישי | 21/01/2021
