Date,Date_ISO,Weekday,Year,Month,Month_Name,Day,URL,Notes,Display
01/01/2023,2023-01-01,יום ראשון,2023,1,ינואר,1,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_010123.mp3,,יום ראשון | 01/01/2023
02/01/2023,2023-01-02,יום שני,2023,1,ינואר,2,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_020123.mp3,,יום שני | 02/01/2023
03/01/2023,2023-01-03,יום שלישי,2023,1,ינואר,3,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_030123.mp3,,יום שלישי | 03/01/2023
04/01/2023,2023-01-04,יום רביעי,2023,1,ינואר,4,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_040123.mp3,,יום רביעי | 04/01/2023
05/01/2023,2023-01-05,יום חמישי,2023,1,ינואר,5,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_050123.mp3,,יום חמישי | 05/01/2023
08/01/2023,2023-01-08,יום ראשון,2023,1,ינואר,8,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_080123.mp3,,יום ראשון | 08/01/2023
09/01/2023,2023-01-09,יום שני,2023,1,ינואר,9,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_090123.mp3,,יום שני | 09/01/2023
10/01/2023,2023-01-10,יום שלישי,2023,1,ינואר,10,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_100123.mp3,,יום שלישי | 10/01/2023
11/01/2023,2023-01-11,יום רביעי,2023,1,ינואר,11,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_110123.mp3,,יום רביעי | 11/01/2023
12/01/2023,2023-01-12,יום חמישי,2023,1,ינואר,12,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_120123.mp3,,יום חמישי | 12/01/2023
15/01/2023,2023-01-15,יום ראשון,2023,1,ינואר,15,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_150123.mp3,,יום ראשון | 15/01/2023
16/01/2023,2023-01-16,יום שני,2023,1,ינואר,16,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_160123.mp3,,יום שני | 16/01/2023
17/01/2023,2023-01-17,יום שלישי,2023,1,ינואר,17,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_170123.mp3,,יום שלישי | 17/01/2023
18/01/2023,2023-01-18,יום רביעי,2023,1,ינואר,18,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_180123.mp3,,יום רביעי | 18/01/2023
19/01/2023,2023-01-19,יום חמישי,2023,1,ינואר,19,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_190123.mp3,,יום חמישי | 19/01/2023
22/01/2023,2023-01-22,יום ראשון,2023,1,ינואר,22,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_220123.mp3,,יום ראשון | 22/01/2023
23/01/2023,2023-01-23,יום שני,2023,1,ינואר,23,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_230123.mp3,,יום שני | 23/01/2023
24/01/2023,2023-01-24,יום שלישי,2023,1,ינואר,24,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_240123.mp3,,יום שלישי | 24/01/2023
25/01/2023,2023-01-25,יום רביעי,2023,1,ינואר,25,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_250123.mp3,,יום רביעי | 25/01/2023
26/01/2023,2023-01-26,יום חמישי,2023,1,ינואר,26,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_260123.mp3,,יום חמישי | 26/01/2023
29/01/2023,2023-01-29,יום ראשון,2023,1,ינואר,29,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_290123.mp3,,יום ראשון | 29/01/2023
30/01/2023,2023-01-30,יום שני,2023,1,ינואר,30,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_300123.mp3,,יום שני | 30/01/2023
31/01/2023,2023-01-31,יום שלישי,2023,1,ינואר,31,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_310123.mp3,,יום שלישי | 31/01/2023
01/02/2023,2023-02-01,יום רביעי,2023,2,פברואר,1,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_010223.mp3,,יום רביעי | 01/02/2023
02/02/2023,2023-02-02,יום חמישי,2023,2,פברואר,2,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_020223.mp3,,יום חמישי | 02/02/2023
05/02/2023,2023-02-05,יום ראשון,2023,2,פברואר,5,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_050223.mp3,,יום ראשון | 05/02/2023
06/02/2023,2023-02-06,יום שני,2023,2,פברואר,6,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_060223.mp3,,יום שני | 06/02/2023
07/02/2023,2023-02-07,יום שלישי,2023,2,פברואר,7,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_070223.mp3,,יום שלישי | 07/02/2023
08/02/2023,2023-02-08,יום רביעי,2023,2,פברואר,8,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_080223.mp3,,יום רביעי | 08/02/2023
09/02/2023,2023-02-09,יום חמישי,2023,2,פברואר,9,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_090223.mp3,,יום חמישי | 09/02/2023
12/02/2023,2023-02-12,יום ראשון,2023,2,פברואר,12,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_120223.mp3,,יום ראשון | 12/02/2023
13/02/2023,2023-02-13,יום שני,2023,2,פברואר,13,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_130223.mp3,,יום שני | 13/02/2023
14/02/2023,2023-02-14,יום שלישי,2023,2,פברואר,14,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_140223.mp3,,יום שלישי | 14/02/2023
15/02/2023,2023-02-15,יום רביעי,2023,2,פברואר,15,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_150223.mp3,,יום רביעי | 15/02/2023
16/02/2023,2023-02-16,יום חמישי,2023,2,פברואר,16,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_160223.mp3,,יום חמישי | 16/02/2023
19/02/2023,2023-02-19,יום ראשון,2023,2,פברואר,19,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_190223.mp3,,יום ראשון | 19/02/2023
20/02/2023,2023-02-20,יום שני,2023,2,פברואר,20,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_200223.mp3,,יום שני | 20/02/2023
21/02/2023,2023-02-21,יום שלישי,2023,2,פברואר,21,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_210223.mp3,,יום שלישי | 21/02/2023
22/02/2023,2023-02-22,יום רביעי,2023,2,פברואר,22,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_220223.mp3,,יום רביעי | 22/02/2023
23/02/2023,2023-02-23,יום חמישי,2023,2,פברואר,23,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_230223.mp3,,יום חמישי | 23/02/2023
26/02/2023,2023-02-26,יום ראשון,2023,2,פברואר,26,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_260223.mp3,,יום ראשון | 26/02/2023
27/02/2023,2023-02-27,יום שני,2023,2,פברואר,27,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_270223.mp3,,יום שני | 27/02/2023
28/02/2023,2023-02-28,יום שלישי,2023,2,פברואר,28,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_280223.mp3,,יום שלישי | 28/02/2023
01/03/2023,2023-03-01,יום רביעי,2023,3,מרץ,1,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_010323.mp3,,יום רביעי | 01/03/2023
02/03/2023,2023-03-02,יום חמישי,2023,3,מרץ,2,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_020323.mp3,,יום חמישי | 02/03/2023
05/03/2023,2023-03-05,יום ראשון,2023,3,מרץ,5,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_050323.mp3,,יום ראשון | 05/03/2023
06/03/2023,2023-03-06,יום שני,2023,3,מרץ,6,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_060323.mp3,,יום שני | 06/03/2023
07/03/2023,2023-03-07,יום שלישי,2023,3,מרץ,7,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_070323.mp3,,יום שלישי | 07/03/2023
08/03/2023,2023-03-08,יום רביעי,2023,3,מרץ,8,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_080323.mp3,,יום רביעי | 08/03/2023
09/03/2023,2023-03-09,יום חמישי,2023,3,מרץ,9,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_090323.mp3,,יום חמישי | 09/03/2023
12/03/2023,2023-03-12,יום ראשון,2023,3,מרץ,12,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_120323.mp3,,יום ראשון | 12/03/2023
13/03/2023,2023-03-13,יום שני,2023,3,מרץ,13,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_130323.mp3,,יום שני | 13/03/2023
14/03/2023,2023-03-14,יום שלישי,2023,3,מרץ,14,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_140323.mp3,,יום שלישי | 14/03/2023
15/03/2023,2023-03-15,יום רביעי,2023,3,מרץ,15,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_150323.mp3,,יום רביעי | 15/03/2023
16/03/2023,2023-03-16,יום חמישי,2023,3,מרץ,16,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_160323.mp3,,יום חמישי | 16/03/2023
19/03/2023,2023-03-19,יום ראשון,2023,3,מרץ,19,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_190323.mp3,,יום ראשון | 19/03/2023
20/03/2023,2023-03-20,יום שני,2023,3,מרץ,20,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_200323.mp3,,יום שני | 20/03/2023
21/03/2023,2023-03-21,יום שלישי,2023,3,מרץ,21,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_210323.mp3,,יום שלישי | 21/03/2023
22/03/2023,2023-03-22,יום רביעי,2023,3,מרץ,22,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_220323.mp3,,יום רביעי | 22/03/2023
23/03/2023,2023-03-23,יום חמישי,2023,3,מרץ,23,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_230323.mp3,,יום חמישי | 23/03/2023
26/03/2023,2023-03-26,יום ראשון,2023,3,מרץ,26,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_260323.mp3,,יום ראשון | 26/03/2023
27/03/2023,2023-03-27,יום שני,2023,3,מרץ,27,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_270323.mp3,,יום שני | 27/03/2023
28/03/2023,2023-03-28,יום שלישי,2023,3,מרץ,28,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_280323.mp3,,יום שלישי | 28/03/2023
29/03/2023,2023-03-29,יום רביעי,2023,3,מרץ,29,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_290323.mp3,,יום רביעי | 29/03/2023
30/03/2023,2023-03-30,יום חמישי,2023,3,מרץ,30,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_300323.mp3,,יום חמישי | 30/03/2023
