Date,Date_ISO,Weekday,Year,Month,Month_Name,Day,URL,Notes,Display
12/11/2018,2018-11-12,יום שני,2018,11,נובמבר,12,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_12_11_18.mp3,,יום שני | 12/11/2018
13/11/2018,2018-11-13,יום שלישי,2018,11,נובמבר,13,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_13_11_18.mp3,,יום שלישי | 13/11/2018
14/11/2018,2018-11-14,יום רביעי,2018,11,נובמבר,14,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_14_11_18.mp3,,יום רביעי | 14/11/2018
15/11/2018,2018-11-15,יום חמישי,2018,11,נובמבר,15,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_15_11_18.mp3,,יום חמישי | 15/11/2018
18/11/2018,2018-11-18,יום ראשון,2018,11,נובמבר,18,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_18_11_18.mp3,,יום ראשון | 18/11/2018
19/11/2018,2018-11-19,יום שני,2018,11,נובמבר,19,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_19_11_18.mp3,,יום שני | 19/11/2018
20/11/2018,2018-11-20,יום שלישי,2018,11,נובמבר,20,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_20_11_18.mp3,,יום שלישי | 20/11/2018
21/11/2018,2018-11-21,יום רביעי,2018,11,נובמבר,21,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_21_11_18.mp3,,יום רביעי | 21/11/2018
22/11/2018,2018-11-22,יום חמישי,2018,11,נובמבר,22,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_22_11_18.mp3,,יום חמישי | 22/11/2018
25/11/2018,2018-11-25,יום ראשון,2018,11,נובמבר,25,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_25_11_18.mp3,,יום ראשון | 25/11/2018
26/11/2018,2018-11-26,יום שני,2018,11,נובמבר,26,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_26_11_18.mp3,,יום שני | 26/11/2018
27/11/2018,2018-11-27,יום שלישי,2018,11,נובמבר,27,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_27_11_18.mp3,,יום שלישי | 27/11/2018
28/11/2018,2018-11-28,יום רביעי,2018,11,נובמבר,28,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_28_11_18.mp3,,יום רביעי | 28/11/2018
29/11/2018,2018-11-29,יום חמישי,2018,11,נובמבר,29,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_29_11_18.mp3,,יום חמישי | 29/11/2018
02/12/2018,2018-12-02,יום ראשון,2018,12,דצמבר,2,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_02122018.mp3,,יום ראשון | 02/12/2018
03/12/2018,2018-12-03,יום שני,2018,12,דצמבר,3,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_03122018.mp3,,יום שני | 03/12/2018
04/12/2018,2018-12-04,יום שלישי,2018,12,דצמבר,4,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_04122018.mp3,,יום שלישי | 04/12/2018
05/12/2018,2018-12-05,יום רביעי,2018,12,דצמבר,5,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_05122018.mp3,,יום רביעי | 05/12/2018
06/12/2018,2018-12-06,יום חמישי,2018,12,דצמבר,6,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_06122018.mp3,,יום חמישי | 06/12/2018
09/12/2018,2018-12-09,יום ראשון,2018,12,דצמבר,9,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_9_12_18.mp3,,יום ראשון | 09/12/2018
10/12/2018,2018-12-10,יום שני,2018,12,דצמבר,10,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_10_12_18.mp3,,יום שני | 10/12/2018
11/12/2018,2018-12-11,יום שלישי,2018,12,דצמבר,11,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_11_12_18.mp3,,יום שלישי | 11/12/2018
12/12/2018,2018-12-12,יום רביעי,2018,12,דצמבר,12,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_12_12_18.mp3,,יום רביעי | 12/12/2018
13/12/2018,2018-12-13,יום חמישי,2018,12,דצמבר,13,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_13_12_18.mp3,,יום חמישי | 13/12/2018
16/12/2018,2018-12-16,יום ראשון,2018,12,דצמבר,16,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_16122018.mp3,,יום ראשון | 16/12/2018
17/12/2018,2018-12-17,יום שני,2018,12,דצמבר,17,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_17122018.mp3,,יום שני | 17/12/2018
18/12/2018,2018-12-18,יום שלישי,2018,12,דצמבר,18,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_18122018.mp3,,יום שלישי | 18/12/2018
19/12/2018,2018-12-19,יום רביעי,2018,12,דצמבר,19,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_19122018.mp3,,יום רביעי | 19/12/2018
20/12/2018,2018-12-20,יום חמישי,2018,12,דצמבר,20,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_20122018.mp3,,יום חמישי | 20/12/2018
23/12/2018,2018-12-23,יום ראשון,2018,12,דצמבר,23,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_23_12_18.mp3,,יום ראשון | 23/12/2018
24/12/2018,2018-12-24,יום שני,2018,12,דצמבר,24,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_24122018.mp3,,יום שני | 24/12/2018
25/12/2018,2018-12-25,יום שלישי,2018,12,דצמבר,25,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_25_12_18.mp3,,יום שלישי | 25/12/2018
26/12/2018,2018-12-26,יום רביעי,2018,12,דצמבר,26,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_26_12_18.mp3,,יום רביעי | 26/12/2018
27/12/2018,2018-12-27,יום חמישי,2018,12,דצמבר,27,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_27_12_18.mp3,,יום חמישי | 27/12/2018
30/12/2018,2018-12-30,יום ראשון,2018,12,דצמבר,30,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_30_12_18.mp3,,יום ראשון | 30/12/2018
31/12/2018,2018-12-31,יום שני,2018,12,דצמבר,31,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_31122018.mp3,,יום שני | 31/12/2018
