Date,Date_ISO,Weekday,Year,Month,Month_Name,Day,URL,Notes,Display
02/01/2022,2022-01-02,יום ראשון,2022,1,ינואר,2,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_020122.mp3,,יום ראשון | 02/01/2022
03/01/2022,2022-01-03,יום שני,2022,1,ינואר,3,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_030122.mp3,,יום שני | 03/01/2022
04/01/2022,2022-01-04,יום שלישי,2022,1,ינואר,4,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_040122.mp3,,יום שלישי | 04/01/2022
05/01/2022,2022-01-05,יום רביעי,2022,1,ינואר,5,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_050122.mp3,,יום רביעי | 05/01/2022
06/01/2022,2022-01-06,יום חמישי,2022,1,ינואר,6,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_060122.mp3,,יום חמישי | 06/01/2022
09/01/2022,2022-01-09,יום ראשון,2022,1,ינואר,9,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_090122.mp3,,יום ראשון | 09/01/2022
10/01/2022,2022-01-10,יום שני,2022,1,ינואר,10,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_100122.mp3,,יום שני | 10/01/2022
11/01/2022,2022-01-11,יום שלישי,2022,1,ינואר,11,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_110122.mp3,,יום שלישי | 11/01/2022
12/01/2022,2022-01-12,יום רביעי,2022,1,ינואר,12,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_120122.mp3,,יום רביעי | 12/01/2022
13/01/2022,2022-01-13,יום חמישי,2022,1,ינואר,13,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_130122.mp3,,יום חמישי | 13/01/2022
16/01/2022,2022-01-16,יום ראשון,2022,1,ינואר,16,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_160122.mp3,,יום ראשון | 16/01/2022
17/01/2022,2022-01-17,יום שני,2022,1,ינואר,17,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_170122.mp3,,יום שני | 17/01/2022
