Date,Date_ISO,Weekday,Year,Month,Month_Name,Day,URL,Notes,Display
03/01/2016,2016-01-03,יום ראשון,2016,1,ינואר,3,https://a99.mediacast.co.il/99fm/mediafiles/full_03_01_2016.mp3,,יום ראשון | 03/01/2016
04/01/2016,2016-01-04,יום שני,2016,1,ינואר,4,https://a99.mediacast.co.il/99fm/mediafiles/full_4_1_2016.mp3,,יום שני | 04/01/2016
05/01/2016,2016-01-05,יום שלישי,2016,1,ינואר,5,https://a99.mediacast.co.il/99fm/mediafiles/full_5_1_2016_s1.mp3,,יום שלישי | 05/01/2016
06/01/2016,2016-01-06,יום רביעי,2016,1,ינואר,6,https://a99.mediacast.co.il/99fm/mediafiles/full_06_01_2016.mp3,,יום רביעי | 06/01/2016
07/01/2016,2016-01-07,יום חמישי,2016,1,ינואר,7,https://a99.mediacast.co.il/99fm/mediafiles/full_07_01_2016.mp3,,יום חמישי | 07/01/2016
10/01/2016,2016-01-10,יום ראשון,2016,1,ינואר,10,https://a99.mediacast.co.il/99fm/mediafiles/full_10_01_2016.mp3,,יום ראשון | 10/01/2016
11/01/2016,2016-01-11,יום שני,2016,1,ינואר,11,https://a99.mediacast.co.il/99fm/mediafiles/full_11_01_16.mp3,,יום שני | 11/01/2016
12/01/2016,2016-01-12,יום שלישי,2016,1,ינואר,12,https://a99.mediacast.co.il/99fm/mediafiles/full_12_01_16.mp3,,יום שלישי | 12/01/2016
13/01/2016,2016-01-13,יום רביעי,2016,1,ינואר,13,https://a99.mediacast.co.il/99fm/mediafiles/full_13_01_16.mp3,,יום רביעי | 13/01/2016
14/01/2016,2016-01-14,יום חמישי,2016,1,ינואר,14,https://a99.mediacast.co.il/99fm/mediafiles/full_14_01_16.mp3,,יום חמישי | 14/01/2016
17/01/2016,2016-01-17,יום ראשון,2016,1,ינואר,17,https://a99.mediacast.co.il/99fm/mediafiles/full_17_01_2016.mp3,,יום ראשון | 17/01/2016
18/01/2016,2016-01-18,יום שני,2016,1,ינואר,18,https://a99.mediacast.co.il/99fm/mediafiles/full_18_01_2016.mp3,,יום שני | 18/01/2016
19/01/2016,2016-01-19,יום שלישי,2016,1,ינואר,19,https://a99.mediacast.co.il/99fm/mediafiles/full_19_01_2016.mp3,,יום שלישי | 19/01/2016
20/01/2016,2016-01-20,יום רביעי,2016,1,ינואר,20,https://a99.mediacast.co.il/99fm/mediafiles/full_20_01_16.mp3,,יום רביעי | 20/01/2016
21/01/2016,2016-01-21,יום חמישי,2016,1,ינואר,21,https://a99.mediacast.co.il/99fm/mediafiles/full_21_01_16.mp3,,יום חמישי | 21/01/2016
24/01/2016,2016-01-24,יום ראשון,2016,1,ינואר,24,https://a99.mediacast.co.il/99fm/mediafiles/full_24_01_16.mp3,,יום ראשון | 24/01/2016
25/01/2016,2016-01-25,יום שני,2016,1,ינואר,25,https://a99.mediacast.co.il/99fm/mediafiles/full_25_01_2016.mp3,,יום שני | 25/01/2016
26/01/2016,2016-01-26,יום שלישי,2016,1,ינואר,26,https://a99.mediacast.co.il/99fm/mediafiles/full_26_01_16.mp3,,יום שלישי | 26/01/2016
27/01/2016,2016-01-27,יום רביעי,2016,1,ינואר,27,https://a99.mediacast.co.il/99fm/mediafiles/full_27_01_16.mp3,,יום רביעי | 27/01/2016
28/01/2016,2016-01-28,יום חמישי,2016,1,ינואר,28,https://a99.mediacast.co.il/99fm/mediafiles/full_28_01_16.mp3,,יום חמישי | 28/01/2016
