Date,Date_ISO,Weekday,Year,Month,Month_Name,Day,URL,Notes,Display
01/01/2012,2012-01-01,יום ראשון,2012,1,ינואר,1,https://a99.mediacast.co.il/99fm/mediafiles/full_01_01_12.mp3,,יום ראשון | 01/01/2012
02/01/2012,2012-01-02,יום שני,2012,1,ינואר,2,https://a99.mediacast.co.il/99fm/mediafiles/full_02_01_12.mp3,,יום שני | 02/01/2012
03/01/2012,2012-01-03,יום שלישי,2012,1,ינואר,3,https://a99.mediacast.co.il/99fm/mediafiles/full_03_01_12.mp3,,יום שלישי | 03/01/2012
04/01/2012,2012-01-04,יום רביעי,2012,1,ינואר,4,https://a99.mediacast.co.il/99fm/mediafiles/full_04_01_12.mp3,,יום רביעי | 04/01/2012
05/01/2012,2012-01-05,יום חמישי,2012,1,ינואר,5,https://a99.mediacast.co.il/99fm/mediafiles/full_05_01_12.mp3,,יום חמישי | 05/01/2012
08/01/2012,2012-01-08,יום ראשון,2012,1,ינואר,8,https://a99.mediacast.co.il/99fm/mediafiles/full_08_01_12.mp3,,יום ראשון | 08/01/2012
09/01/2012,2012-01-09,יום שני,2012,1,ינואר,9,https://a99.mediacast.co.il/99fm/mediafiles/full_09_01_12.mp3,,יום שני | 09/01/2012
10/01/2012,2012-01-10,יום שלישי,2012,1,ינואר,10,https://a99.mediacast.co.il/99fm/mediafiles/full_10_01_12.mp3,,יום שלישי | 10/01/2012
11/01/2012,2012-01-11,יום רביעי,2012,1,ינואר,11,https://a99.mediacast.co.il/99fm/mediafiles/full_11_01_12.mp3,,יום רביעי | 11/01/2012
12/01/2012,2012-01-12,יום חמישי,2012,1,ינואר,12,https://a99.mediacast.co.il/99fm/mediafiles/full_12_01_12.mp3,,יום חמישי | 12/01/2012
15/01/2012,2012-01-15,יום ראשון,2012,1,ינואר,15,https://a99.mediacast.co.il/99fm/mediafiles/full_15_01_12.mp3,,יום ראשון | 15/01/2012
16/01/2012,2012-01-16,יום שני,2012,1,ינואר,16,https://a99.mediacast.co.il/99fm/mediafiles/full_16_01_12.mp3,,יום שני | 16/01/2012
17/01/2012,2012-01-17,יום שלישי,2012,1,ינואר,17,https://a99.mediacast.co.il/99fm/mediafiles/full_17_01_12.mp3,,יום שלישי | 17/01/2012
18/01/2012,2012-01-18,יום רביעי,2012,1,ינואר,18,https://a99.mediacast.co.il/99fm/mediafiles/full_18_01_12.mp3,,יום רביעי | 18/01/2012
19/01/2012,2012-01-19,יום חמישי,2012,1,ינואר,19,https://a99.mediacast.co.il/99fm/mediafiles/full_19_01_12.mp3,,יום חמישי | 19/01/2012
