Date,Date_ISO,Weekday,Year,Month,Month_Name,Day,URL,Notes,Display
01/01/2017,2017-01-01,יום ראשון,2017,1,ינואר,1,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_1_1_17.mp3,,יום ראשון | 01/01/2017
02/01/2017,2017-01-02,יום שני,2017,1,ינואר,2,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_2_1_17.mp3,,יום שני | 02/01/2017
03/01/2017,2017-01-03,יום שלישי,2017,1,ינואר,3,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_3_1_17.mp3,,יום שלישי | 03/01/2017
04/01/2017,2017-01-04,יום רביעי,2017,1,ינואר,4,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_4_1_17.mp3,,יום רביעי | 04/01/2017
05/01/2017,2017-01-05,יום חמישי,2017,1,ינואר,5,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_5_1_17.mp3,,יום חמישי | 05/01/2017
08/01/2017,2017-01-08,יום ראשון,2017,1,ינואר,8,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_8_1_17.mp3,,יום ראשון | 08/01/2017
09/01/2017,2017-01-09,יום שני,2017,1,ינואר,9,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_9_1_17.mp3,,יום שני | 09/01/2017
10/01/2017,2017-01-10,יום שלישי,2017,1,ינואר,10,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_10_1_17.mp3,,יום שלישי | 10/01/2017
11/01/2017,2017-01-11,יום רביעי,2017,1,ינואר,11,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_11_1_17.mp3,,יום רביעי | 11/01/2017
12/01/2017,2017-01-12,יום חמישי,2017,1,ינואר,12,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_12_1_17.mp3,,יום חמישי | 12/01/2017
15/01/2017,2017-01-15,יום ראשון,2017,1,ינואר,15,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_15_1_17.mp3,,יום ראשון | 15/01/2017
16/01/2017,2017-01-16,יום שני,2017,1,ינואר,16,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_16_1_17.mp3,,יום שני | 16/01/2017
