Date,Date_ISO,Weekday,Year,Month,Month_Name,Day,URL,Notes,Display
01/01/2020,2020-01-01,יום רביעי,2020,1,ינואר,1,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_010120.mp3,,יום רביעי | 01/01/2020
02/01/2020,2020-01-02,יום חמישי,2020,1,ינואר,2,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_020120.mp3,,יום חמישי | 02/01/2020
05/01/2020,2020-01-05,יום ראשון,2020,1,ינואר,5,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_050120.mp3,,יום ראשון | 05/01/2020
06/01/2020,2020-01-06,יום שני,2020,1,ינואר,6,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_060120.mp3,,יום שני | 06/01/2020
07/01/2020,2020-01-07,יום שלישי,2020,1,ינואר,7,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_070720.mp3,,יום שלישי | 07/01/2020
08/01/2020,2020-01-08,יום רביעי,2020,1,ינואר,8,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_080120.mp3,,יום רביעי | 08/01/2020
09/01/2020,2020-01-09,יום חמישי,2020,1,ינואר,9,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_090120.mp3,,יום חמישי | 09/01/2020
12/01/2020,2020-01-12,יום ראשון,2020,1,ינואר,12,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_120120.mp3,,יום ראשון | 12/01/2020
13/01/2020,2020-01-13,יום שני,2020,1,ינואר,13,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_130120.mp3,,יום שני | 13/01/2020
14/01/2020,2020-01-14,יום שלישי,2020,1,ינואר,14,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_140120.mp3,,יום שלישי | 14/01/2020
15/01/2020,2020-01-15,יום רביעי,2020,1,ינואר,15,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_150120.mp3,,יום רביעי | 15/01/2020
16/01/2020,2020-01-16,יום חמישי,2020,1,ינואר,16,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_160120.mp3,,יום חמישי | 16/01/2020
19/01/2020,2020-01-19,יום ראשון,2020,1,ינואר,19,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_190120.mp3,,יום ראשון | 19/01/2020
20/01/2020,2020-01-20,יום שני,2020,1,ינואר,20,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_200120.mp3,,יום שני | 20/01/2020
21/01/2020,2020-01-21,יום שלישי,2020,1,ינואר,21,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_210120.mp3,,יום שלישי | 21/01/2020
22/01/2020,2020-01-22,יום רביעי,2020,1,ינואר,22,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_220120.mp3,,יום רביעי | 22/01/2020
23/01/2020,2020-01-23,יום חמישי,2020,1,ינואר,23,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_230120.mp3,,יום חמישי | 23/01/2020
26/01/2020,2020-01-26,יום ראשון,2020,1,ינואר,26,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_260120.mp3,,יום ראשון | 26/01/2020
27/01/2020,2020-01-27,יום שני,2020,1,ינואר,27,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_270120.mp3,,יום שני | 27/01/2020
28/01/2020,2020-01-28,יום שלישי,2020,1,ינואר,28,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_280120.mp3,,יום שלישי | 28/01/2020
29/01/2020,2020-01-29,יום רביעי,2020,1,ינואר,29,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_290120.mp3,,יום רביעי | 29/01/2020
30/01/2020,2020-01-30,יום חמישי,2020,1,ינואר,30,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_300120.mp3,,יום חמישי | 30/01/2020
02/02/2020,2020-02-02,יום ראשון,2020,2,פברואר,2,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_020220.mp3,,יום ראשון | 02/02/2020
03/02/2020,2020-02-03,יום שני,2020,2,פברואר,3,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_030220.mp3,,יום שני | 03/02/2020
04/02/2020,2020-02-04,יום שלישי,2020,2,פברואר,4,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_040220.mp3,,יום שלישי | 04/02/2020
05/02/2020,2020-02-05,יום רביעי,2020,2,פברואר,5,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_050220.mp3,,יום רביעי | 05/02/2020
06/02/2020,2020-02-06,יום חמישי,2020,2,פברואר,6,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_060220.mp3,,יום חמישי | 06/02/2020
09/02/2020,2020-02-09,יום ראשון,2020,2,פברואר,9,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_090220.mp3,,יום ראשון | 09/02/2020
10/02/2020,2020-02-10,יום שני,2020,2,פברואר,10,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_100220.mp3,,יום שני | 10/02/2020
11/02/2020,2020-02-11,יום שלישי,2020,2,פברואר,11,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_110220.mp3,,יום שלישי | 11/02/2020
12/02/2020,2020-02-12,יום רביעי,2020,2,פברואר,12,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_120220.mp3,,יום רביעי | 12/02/2020
13/02/2020,2020-02-13,יום חמישי,2020,2,פברואר,13,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_130220.mp3,,יום חמישי | 13/02/2020
16/02/2020,2020-02-16,יום ראשון,2020,2,פברואר,16,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_160220.mp3,,יום ראשון | 16/02/2020
17/02/2020,2020-02-17,יום שני,2020,2,פברואר,17,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_170220.mp3,,יום שני | 17/02/2020
18/02/2020,2020-02-18,יום שלישי,2020,2,פברואר,18,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_180220.mp3,,יום שלישי | 18/02/2020
19/02/2020,2020-02-19,יום רביעי,2020,2,פברואר,19,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_190220.mp3,,יום רביעי | 19/02/2020
20/02/2020,2020-02-20,יום חמישי,2020,2,פברואר,20,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_200220.mp3,,יום חמישי | 20/02/2020
23/02/2020,2020-02-23,יום ראשון,2020,2,פברואר,23,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_230220.mp3,,יום ראשון | 23/02/2020
24/02/2020,2020-02-24,יום שני,2020,2,פברואר,24,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_240220.mp3,,יום שני | 24/02/2020
25/02/2020,2020-02-25,יום שלישי,2020,2,פברואר,25,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_250220.mp3,,יום שלישי | 25/02/2020
26/02/2020,2020-02-26,יום רביעי,2020,2,פברואר,26,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_260220.mp3,,יום רביעי | 26/02/2020
27/02/2020,2020-02-27,יום חמישי,2020,2,פברואר,27,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_270220.mp3,,יום חמישי | 27/02/2020
01/03/2020,2020-03-01,יום ראשון,2020,3,מרץ,1,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_010320.mp3,,יום ראשון | 01/03/2020
02/03/2020,2020-03-02,יום שני,2020,3,מרץ,2,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_020320.mp3,,יום שני | 02/03/2020
03/03/2020,2020-03-03,יום שלישי,2020,3,מרץ,3,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_030320.mp3,,יום שלישי | 03/03/2020
04/03/2020,2020-03-04,יום רביעי,2020,3,מרץ,4,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_040320.mp3,,יום רביעי | 04/03/2020
05/03/2020,2020-03-05,יום חמישי,2020,3,מרץ,5,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_050320.mp3,,יום חמישי | 05/03/2020
08/03/2020,2020-03-08,יום ראשון,2020,3,מרץ,8,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_080320.mp3,,יום ראשון | 08/03/2020
09/03/2020,2020-03-09,יום שני,2020,3,מרץ,9,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_090320.mp3,,יום שני | 09/03/2020
10/03/2020,2020-03-10,יום שלישי,2020,3,מרץ,10,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_100320.mp3,,יום שלישי | 10/03/2020
11/03/2020,2020-03-11,יום רביעי,2020,3,מרץ,11,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_110320.mp3,,יום רביעי | 11/03/2020
12/03/2020,2020-03-12,יום חמישי,2020,3,מרץ,12,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_120320.mp3,,יום חמישי | 12/03/2020
15/03/2020,2020-03-15,יום ראשון,2020,3,מרץ,15,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_150320.mp3,,יום ראשון | 15/03/2020
16/03/2020,2020-03-16,יום שני,2020,3,מרץ,16,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_160320.mp3,,יום שני | 16/03/2020
17/03/2020,2020-03-17,יום שלישי,2020,3,מרץ,17,https://a99.mediacast.co.il/99fm/mediafiles/haboker_full_170320.mp3,,יום שלישי | 17/03/2020
