Date,Date_ISO,Weekday,Year,Month,Month_Name,Day,URL,Notes,Display
01/01/2015,2015-01-01,יום חמישי,2015,1,ינואר,1,https://a99.mediacast.co.il/99fm/mediafiles/full_01_01_15.mp3,,יום חמישי | 01/01/2015
05/01/2015,2015-01-05,יום שני,2015,1,ינואר,5,https://a99.mediacast.co.il/99fm/mediafiles/full_5_1_15.mp3,,יום שני | 05/01/2015
06/01/2015,2015-01-06,יום שלישי,2015,1,ינואר,6,https://a99.mediacast.co.il/99fm/mediafiles/full_06_01_15.mp3,,יום שלישי | 06/01/2015
07/01/2015,2015-01-07,יום רביעי,2015,1,ינואר,7,https://a99.mediacast.co.il/99fm/mediafiles/full_07_01_15.mp3,,יום רביעי | 07/01/2015
08/01/2015,2015-01-08,יום חמישי,2015,1,ינואר,8,https://a99.mediacast.co.il/99fm/mediafiles/full_08_01_15.mp3,,יום חמישי | 08/01/2015
11/01/2015,2015-01-11,יום ראשון,2015,1,ינואר,11,https://a99.mediacast.co.il/99fm/mediafiles/full_11_1_15.mp3,,יום ראשון | 11/01/2015
12/01/2015,2015-01-12,יום שני,2015,1,ינואר,12,https://a99.mediacast.co.il/99fm/mediafiles/full_12_01_15.mp3,,יום שני | 12/01/2015
13/01/2015,2015-01-13,יום שלישי,2015,1,ינואר,13,https://a99.mediacast.co.il/99fm/mediafiles/full_13_01_15.mp3,,יום שלישי | 13/01/2015
14/01/2015,2015-01-14,יום רביעי,2015,1,ינואר,14,https://a99.mediacast.co.il/99fm/mediafiles/full_14_01_15.mp3,,יום רביעי | 14/01/2015
15/01/2015,2015-01-15,יום חמישי,2015,1,ינואר,15,https://a99.mediacast.co.il/99fm/mediafiles/full_15_01_15.mp3,,יום חמישי | 15/01/2015
18/01/2015,2015-01-18,יום ראשון,2015,1,ינואר,18,https://a99.mediacast.co.il/99fm/mediafiles/full_18_01_15.mp3,,יום ראשון | 18/01/2015
19/01/2015,2015-01-19,יום שני,2015,1,ינואר,19,https://a99.mediacast.co.il/99fm/mediafiles/full_19_01_15.mp3,,יום שני | 19/01/2015
20/01/2015,2015-01-20,יום שלישי,2015,1,ינואר,20,https://a99.mediacast.co.il/99fm/mediafiles/full_20_01_15.mp3,,יום שלישי | 20/01/2015
21/01/2015,2015-01-21,יום רביעי,2015,1,ינואר,21,https://a99.mediacast.co.il/99fm/mediafiles/full_21_01_15.mp3,,יום רביעי | 21/01/2015
22/01/2015,2015-01-22,יום חמישי,2015,1,ינואר,22,https://a99.mediacast.co.il/99fm/mediafiles/full_22_01_15.mp3,,יום חמישי | 22/01/2015
25/01/2015,2015-01-25,יום ראשון,2015,1,ינואר,25,https://a99.mediacast.co.il/99fm/mediafiles/full_25_01_15.mp3,,יום ראשון | 25/01/2015
26/01/2015,2015-01-26,יום שני,2015,1,ינואר,26,https://a99.mediacast.co.il/99fm/mediafiles/full_26_01_15.mp3,,יום שני | 26/01/2015
27/01/2015,2015-01-27,יום שלישי,2015,1,ינואר,27,https://a99.mediacast.co.il/99fm/mediafiles/full_27_01_15.mp3,,יום שלישי | 27/01/2015
28/01/2015,2015-01-28,יום רביעי,2015,1,ינואר,28,https://a99.mediacast.co.il/99fm/mediafiles/full_28_01_15.mp3,,יום רביעי | 28/01/2015
29/01/2015,2015-01-29,יום חמישי,2015,1,ינואר,29,https://a99.mediacast.co.il/99fm/mediafiles/full_29_01_15.mp3,,יום חמישי | 29/01/2015
01/02/2015,2015-02-01,יום ראשון,2015,2,פברואר,1,https://a99.mediacast.co.il/99fm/mediafiles/full_01_02_15.mp3,,יום ראשון | 01/02/2015
02/02/2015,2015-02-02,יום שני,2015,2,פברואר,2,https://a99.mediacast.co.il/99fm/mediafiles/full_02_02_15.mp3,,יום שני | 02/02/2015
03/02/2015,2015-02-03,יום שלישי,2015,2,פברואר,3,https://a99.mediacast.co.il/99fm/mediafiles/full_03_02_15.mp3,,יום שלישי | 03/02/2015
04/02/2015,2015-02-04,יום רביעי,2015,2,פברואר,4,https://a99.mediacast.co.il/99fm/mediafiles/full_04_02_15.mp3,,יום רביעי | 04/02/2015
05/02/2015,2015-02-05,יום חמישי,2015,2,פברואר,5,https://a99.mediacast.co.il/99fm/mediafiles/full_05_02_15.mp3,,יום חמישי | 05/02/2015
08/02/2015,2015-02-08,יום ראשון,2015,2,פברואר,8,https://a99.mediacast.co.il/99fm/mediafiles/full_08_02_15.mp3,,יום ראשון | 08/02/2015
09/02/2015,2015-02-09,יום שני,2015,2,פברואר,9,https://a99.mediacast.co.il/99fm/mediafiles/full_09_02_15.mp3,,יום שני | 09/02/2015
10/02/2015,2015-02-10,יום שלישי,2015,2,פברואר,10,https://a99.mediacast.co.il/99fm/mediafiles/full_10_02_15.mp3,,יום שלישי | 10/02/2015
11/02/2015,2015-02-11,יום רביעי,2015,2,פברואר,11,https://a99.mediacast.co.il/99fm/mediafiles/full_11_02_15.mp3,,יום רביעי | 11/02/2015
12/02/2015,2015-02-12,יום חמישי,2015,2,פברואר,12,https://a99.mediacast.co.il/99fm/mediafiles/full_12_02_15.mp3,,יום חמישי | 12/02/2015
15/02/2015,2015-02-15,יום ראשון,2015,2,פברואר,15,https://a99.mediacast.co.il/99fm/mediafiles/full_15_02_15.mp3,,יום ראשון | 15/02/2015
16/02/2015,2015-02-16,יום שני,2015,2,פברואר,16,https://a99.mediacast.co.il/99fm/mediafiles/full_16_02_15.mp3,,יום שני | 16/02/2015
17/02/2015,2015-02-17,יום שלישי,2015,2,פברואר,17,https://a99.mediacast.co.il/99fm/mediafiles/full_17_02_15.mp3,,יום שלישי | 17/02/2015
18/02/2015,2015-02-18,יום רביעי,2015,2,פברואר,18,https://a99.mediacast.co.il/99fm/mediafiles/full_18_02_15.mp3,,יום רביעי | 18/02/2015
19/02/2015,2015-02-19,יום חמישי,2015,2,פברואר,19,https://a99.mediacast.co.il/99fm/mediafiles/full_19_02_15.mp3,,יום חמישי | 19/02/2015
22/02/2015,2015-02-22,יום ראשון,2015,2,פברואר,22,https://a99.mediacast.co.il/99fm/mediafiles/full_22_02_15.mp3,,יום ראשון | 22/02/2015
23/02/2015,2015-02-23,יום שני,2015,2,פברואר,23,https://a99.mediacast.co.il/99fm/mediafiles/full_23_02_15.mp3,,יום שני | 23/02/2015
24/02/2015,2015-02-24,יום שלישי,2015,2,פברואר,24,https://a99.mediacast.co.il/99fm/mediafiles/full_24_02_15.mp3,,יום שלישי | 24/02/2015
25/02/2015,2015-02-25,יום רביעי,2015,2,פברואר,25,https://a99.mediacast.co.il/99fm/mediafiles/full_25_2_15.mp3,,יום רביעי | 25/02/2015
26/02/2015,2015-02-26,יום חמישי,2015,2,פברואר,26,https://a99.mediacast.co.il/99fm/mediafiles/full_26_02_15%20.mp3,,יום חמישי | 26/02/2015
01/03/2015,2015-03-01,יום ראשון,2015,3,מרץ,1,https://a99.mediacast.co.il/99fm/mediafiles/full_01_03_15.mp3,,יום ראשון | 01/03/2015
02/03/2015,2015-03-02,יום שני,2015,3,מרץ,2,https://a99.mediacast.co.il/99fm/mediafiles/full_02_03_15.mp3,,יום שני | 02/03/2015
03/03/2015,2015-03-03,יום שלישי,2015,3,מרץ,3,https://a99.mediacast.co.il/99fm/mediafiles/full_03_03_15.mp3,,יום שלישי | 03/03/2015
04/03/2015,2015-03-04,יום רביעי,2015,3,מרץ,4,https://a99.mediacast.co.il/99fm/mediafiles/full_04_03_15.mp3,,יום רביעי | 04/03/2015
05/03/2015,2015-03-05,יום חמישי,2015,3,מרץ,5,https://a99.mediacast.co.il/99fm/mediafiles/full_05_03_15.mp3,,יום חמישי | 05/03/2015
08/03/2015,2015-03-08,יום ראשון,2015,3,מרץ,8,https://a99.mediacast.co.il/99fm/mediafiles/full_08_03_15.mp3,,יום ראשון | 08/03/2015
09/03/2015,2015-03-09,יום שני,2015,3,מרץ,9,https://a99.mediacast.co.il/99fm/mediafiles/full_09_03_15.mp3,,יום שני | 09/03/2015
10/03/2015,2015-03-10,יום שלישי,2015,3,מרץ,10,https://a99.mediacast.co.il/99fm/mediafiles/full_10_03_15.mp3,,יום שלישי | 10/03/2015
11/03/2015,2015-03-11,יום רביעי,2015,3,מרץ,11,https://a99.mediacast.co.il/99fm/mediafiles/full_11_03_15.mp3,,יום רביעי | 11/03/2015
12/03/2015,2015-03-12,יום חמישי,2015,3,מרץ,12,https://a99.mediacast.co.il/99fm/mediafiles/full_12_03_15.mp3,,יום חמישי | 12/03/2015
15/03/2015,2015-03-15,יום ראשון,2015,3,מרץ,15,https://a99.mediacast.co.il/99fm/mediafiles/full_15_03_15.mp3,,יום ראשון | 15/03/2015
16/03/2015,2015-03-16,יום שני,2015,3,מרץ,16,https://a99.mediacast.co.il/99fm/mediafiles/full_16_03_15.mp3,,יום שני | 16/03/2015
17/03/2015,2015-03-17,יום שלישי,2015,3,מרץ,17,https://a99.mediacast.co.il/99fm/mediafiles/full_17_03_15.mp3,,יום שלישי | 17/03/2015
18/03/2015,2015-03-18,יום רביעי,2015,3,מרץ,18,https://a99.mediacast.co.il/99fm/mediafiles/full_18_03_15.mp3,,יום רביעי | 18/03/2015
19/03/2015,2015-03-19,יום חמישי,2015,3,מרץ,19,https://a99.mediacast.co.il/99fm/mediafiles/full_19_03_15.mp3,,יום חמישי | 19/03/2015
22/03/2015,2015-03-22,יום ראשון,2015,3,מרץ,22,https://a99.mediacast.co.il/99fm/mediafiles/full_22_03_15.mp3,,יום ראשון | 22/03/2015
23/03/2015,2015-03-23,יום שני,2015,3,מרץ,23,https://a99.mediacast.co.il/99fm/mediafiles/full_23_03_15.mp3,,יום שני | 23/03/2015
24/03/2015,2015-03-24,יום שלישי,2015,3,מרץ,24,https://a99.mediacast.co.il/99fm/mediafiles/full_24_03_15.mp3,,יום שלישי | 24/03/2015
25/03/2015,2015-03-25,יום רביעי,2015,3,מרץ,25,https://a99.mediacast.co.il/99fm/mediafiles/full_25_03_15.mp3,,יום רביעי | 25/03/2015
26/03/2015,2015-03-26,יום חמישי,2015,3,מרץ,26,https://a99.mediacast.co.il/99fm/mediafiles/full_26_03_15.mp3,,יום חמישי | 26/03/2015
29/03/2015,2015-03-29,יום ראשון,2015,3,מרץ,29,https://a99.mediacast.co.il/99fm/mediafiles/full_29_03_15.mp3,,יום ראשון | 29/03/2015
30/03/2015,2015-03-30,יום שני,2015,3,מרץ,30,https://a99.mediacast.co.il/99fm/mediafiles/full_30_03_15.mp3,,יום שני | 30/03/2015
31/03/2015,2015-03-31,יום שלישי,2015,3,מרץ,31,https://a99.mediacast.co.il/99fm/mediafiles/full_31_03_15.mp3,,יום שלישי | 31/03/2015
01/04/2015,2015-04-01,יום רביעי,2015,4,אפריל,1,https://a99.mediacast.co.il/99fm/mediafiles/full_01_04_15.mp3,,יום רביעי | 01/04/2015
02/04/2015,2015-04-02,יום חמישי,2015,4,אפריל,2,https://a99.mediacast.co.il/99fm/mediafiles/full_02_04_15.mp3,,יום חמישי | 02/04/2015
12/04/2015,2015-04-12,יום ראשון,2015,4,אפריל,12,https://a99.mediacast.co.il/99fm/mediafiles/full_12_04_15.mp3,,יום ראשון | 12/04/2015
13/04/2015,2015-04-13,יום שני,2015,4,אפריל,13,https://a99.mediacast.co.il/99fm/mediafiles/full_13_04_15.mp3,,יום שני | 13/04/2015
14/04/2015,2015-04-14,יום שלישי,2015,4,אפריל,14,https://a99.mediacast.co.il/99fm/mediafiles/full_14_04_15.mp3,,יום שלישי | 14/04/2015
15/04/2015,2015-04-15,יום רביעי,2015,4,אפריל,15,https://a99.mediacast.co.il/99fm/mediafiles/full_15_04_15.mp3,,יום רביעי | 15/04/2015
19/04/2015,2015-04-19,יום ראשון,2015,4,אפריל,19,https://a99.mediacast.co.il/99fm/mediafiles/full_19_04_15.mp3,,יום ראשון | 19/04/2015
20/04/2015,2015-04-20,יום שני,2015,4,אפריל,20,https://a99.mediacast.co.il/99fm/mediafiles/full_20_04_15.mp3,,יום שני | 20/04/2015
21/04/2015,2015-04-21,יום שלישי,2015,4,אפריל,21,https://a99.mediacast.co.il/99fm/mediafiles/full_21_04_15.mp3,,יום שלישי | 21/04/2015
26/04/2015,2015-04-26,יום ראשון,2015,4,אפריל,26,https://a99.mediacast.co.il/99fm/mediafiles/full_26_04_2015.mp3,,יום ראשון | 26/04/2015
27/04/2015,2015-04-27,יום שני,2015,4,אפריל,27,https://a99.mediacast.co.il/99fm/mediafiles/full_27_04_15.mp3,,יום שני | 27/04/2015
28/04/2015,2015-04-28,יום שלישי,2015,4,אפריל,28,https://a99.mediacast.co.il/99fm/mediafiles/full_28_04_15.mp3,,יום שלישי | 28/04/2015
29/04/2015,2015-04-29,יום רביעי,2015,4,אפריל,29,https://a99.mediacast.co.il/99fm/mediafiles/full_29_04_15.mp3,,יום רביעי | 29/04/2015
30/04/2015,2015-04-30,יום חמישי,2015,4,אפריל,30,https://a99.mediacast.co.il/99fm/mediafiles/full_30_04_2015.mp3,,יום חמישי | 30/04/2015
03/05/2015,2015-05-03,יום ראשון,2015,5,מאי,3,https://a99.mediacast.co.il/99fm/mediafiles/full_3_5_15.mp3,,יום ראשון | 03/05/2015
04/05/2015,2015-05-04,יום שני,2015,5,מאי,4,https://a99.mediacast.co.il/99fm/mediafiles/full_04_05_15.mp3,,יום שני | 04/05/2015
05/05/2015,2015-05-05,יום שלישי,2015,5,מאי,5,https://a99.mediacast.co.il/99fm/mediafiles/full_05_05_15.mp3,,יום שלישי | 05/05/2015
06/05/2015,2015-05-06,יום רביעי,2015,5,מאי,6,https://a99.mediacast.co.il/99fm/mediafiles/full_06_05_15.mp3,,יום רביעי | 06/05/2015
07/05/2015,2015-05-07,יום חמישי,2015,5,מאי,7,https://a99.mediacast.co.il/99fm/mediafiles/full_7_5_15_2.mp3,,יום חמישי | 07/05/2015
10/05/2015,2015-05-10,יום ראשון,2015,5,מאי,10,https://a99.mediacast.co.il/99fm/mediafiles/Full_10_05_15.mp3,,יום ראשון | 10/05/2015
11/05/2015,2015-05-11,יום שני,2015,5,מאי,11,https://a99.mediacast.co.il/99fm/mediafiles/full_11_05_15.mp3,,יום שני | 11/05/2015
12/05/2015,2015-05-12,יום שלישי,2015,5,מאי,12,https://a99.mediacast.co.il/99fm/mediafiles/full_12_05_15.mp3,,יום שלישי | 12/05/2015
13/05/2015,2015-05-13,יום רביעי,2015,5,מאי,13,https://a99.mediacast.co.il/99fm/mediafiles/full_13_05_15.mp3,,יום רביעי | 13/05/2015
14/05/2015,2015-05-14,יום חמישי,2015,5,מאי,14,https://a99.mediacast.co.il/99fm/mediafiles/Full_14_5_15.mp3,,יום חמישי | 14/05/2015
17/05/2015,2015-05-17,יום ראשון,2015,5,מאי,17,https://a99.mediacast.co.il/99fm/mediafiles/full_17_05_15.mp3,,יום ראשון | 17/05/2015
18/05/2015,2015-05-18,יום שני,2015,5,מאי,18,https://a99.mediacast.co.il/99fm/mediafiles/full_18_05_15.mp3,,יום שני | 18/05/2015
19/05/2015,2015-05-19,יום שלישי,2015,5,מאי,19,https://a99.mediacast.co.il/99fm/mediafiles/full_19_5_15.mp3,,יום שלישי | 19/05/2015
20/05/2015,2015-05-20,יום רביעי,2015,5,מאי,20,https://a99.mediacast.co.il/99fm/mediafiles/full_20_05_15.mp3,,יום רביעי | 20/05/2015
21/05/2015,2015-05-21,יום חמישי,2015,5,מאי,21,https://a99.mediacast.co.il/99fm/mediafiles/full_21_05_15.mp3,,יום חמישי | 21/05/2015
25/05/2015,2015-05-25,יום שני,2015,5,מאי,25,https://a99.mediacast.co.il/99fm/mediafiles/full_25_05_15.mp3,,יום שני | 25/05/2015
26/05/2015,2015-05-26,יום שלישי,2015,5,מאי,26,https://a99.mediacast.co.il/99fm/mediafiles/full_26_05_15.mp3,,יום שלישי | 26/05/2015
27/05/2015,2015-05-27,יום רביעי,2015,5,מאי,27,https://a99.mediacast.co.il/99fm/mediafiles/full_27_05_15.mp3,,יום רביעי | 27/05/2015
28/05/2015,2015-05-28,יום חמישי,2015,5,מאי,28,https://a99.mediacast.co.il/99fm/mediafiles/full_28_05_15.mp3,,יום חמישי | 28/05/2015
31/05/2015,2015-05-31,יום ראשון,2015,5,מאי,31,https://a99.mediacast.co.il/99fm/mediafiles/full_31_05_15.mp3,,יום ראשון | 31/05/2015
01/06/2015,2015-06-01,יום שני,2015,6,יוני,1,https://a99.mediacast.co.il/99fm/mediafiles/full_01_06_15.mp3,,יום שני | 01/06/2015
02/06/2015,2015-06-02,יום שלישי,2015,6,יוני,2,https://a99.mediacast.co.il/99fm/mediafiles/full_02_06_15.mp3,,יום שלישי | 02/06/2015
03/06/2015,2015-06-03,יום רביעי,2015,6,יוני,3,https://a99.mediacast.co.il/99fm/mediafiles/full_03_06_15.mp3,,יום רביעי | 03/06/2015
04/06/2015,2015-06-04,יום חמישי,2015,6,יוני,4,https://a99.mediacast.co.il/99fm/mediafiles/full_04_06_15.mp3,,יום חמישי | 04/06/2015
07/06/2015,2015-06-07,יום ראשון,2015,6,יוני,7,https://a99.mediacast.co.il/99fm/mediafiles/full_07_6_15.mp3,,יום ראשון | 07/06/2015
08/06/2015,2015-06-08,יום שני,2015,6,יוני,8,https://a99.mediacast.co.il/99fm/mediafiles/full_08_06_15.mp3,,יום שני | 08/06/2015
09/06/2015,2015-06-09,יום שלישי,2015,6,יוני,9,https://a99.mediacast.co.il/99fm/mediafiles/full_09_06_15.mp3,,יום שלישי | 09/06/2015
10/06/2015,2015-06-10,יום רביעי,2015,6,יוני,10,https://a99.mediacast.co.il/99fm/mediafiles/full_10_06_15.mp3,,יום רביעי | 10/06/2015
11/06/2015,2015-06-11,יום חמישי,2015,6,יוני,11,https://a99.mediacast.co.il/99fm/mediafiles/full_11_06_15.mp3,,יום חמישי | 11/06/2015
